colour	x	y	group	clickSelects
#F8766D	1585161000	1	1	Andaman and Nicobar Islands
#F8766D	1585247400	1	1	Andaman and Nicobar Islands
#F8766D	1585333800	6	1	Andaman and Nicobar Islands
#F8766D	1585420200	9	1	Andaman and Nicobar Islands
#F8766D	1585506600	9	1	Andaman and Nicobar Islands
#F8766D	1585593000	10	1	Andaman and Nicobar Islands
#F8766D	1585679400	10	1	Andaman and Nicobar Islands
#F8766D	1585765800	10	1	Andaman and Nicobar Islands
#F8766D	1585852200	10	1	Andaman and Nicobar Islands
#F8766D	1585938600	10	1	Andaman and Nicobar Islands
#F8766D	1586025000	10	1	Andaman and Nicobar Islands
#F8766D	1586111400	10	1	Andaman and Nicobar Islands
#F8766D	1586197800	10	1	Andaman and Nicobar Islands
#F8766D	1586284200	10	1	Andaman and Nicobar Islands
#F8766D	1586370600	11	1	Andaman and Nicobar Islands
#F8766D	1586457000	11	1	Andaman and Nicobar Islands
#F8766D	1586543400	11	1	Andaman and Nicobar Islands
#F8766D	1586629800	11	1	Andaman and Nicobar Islands
#F8766D	1586716200	11	1	Andaman and Nicobar Islands
#F8766D	1586802600	11	1	Andaman and Nicobar Islands
#F8766D	1586889000	11	1	Andaman and Nicobar Islands
#F8766D	1586975400	11	1	Andaman and Nicobar Islands
#F8766D	1587061800	11	1	Andaman and Nicobar Islands
#F8766D	1587148200	12	1	Andaman and Nicobar Islands
#F8766D	1587234600	14	1	Andaman and Nicobar Islands
#F8766D	1587321000	15	1	Andaman and Nicobar Islands
#F8766D	1587407400	16	1	Andaman and Nicobar Islands
#F8766D	1587493800	17	1	Andaman and Nicobar Islands
#F8766D	1587580200	18	1	Andaman and Nicobar Islands
#F8766D	1587666600	22	1	Andaman and Nicobar Islands
#F8766D	1587753000	27	1	Andaman and Nicobar Islands
#F8766D	1587839400	33	1	Andaman and Nicobar Islands
#F8766D	1587925800	33	1	Andaman and Nicobar Islands
#F8766D	1588012200	33	1	Andaman and Nicobar Islands
#F8766D	1588098600	33	1	Andaman and Nicobar Islands
#F8766D	1588185000	33	1	Andaman and Nicobar Islands
#F8766D	1588271400	33	1	Andaman and Nicobar Islands
#F8766D	1588357800	33	1	Andaman and Nicobar Islands
#F8766D	1588444200	33	1	Andaman and Nicobar Islands
#F8766D	1588530600	33	1	Andaman and Nicobar Islands
#F8766D	1588617000	33	1	Andaman and Nicobar Islands
#F8766D	1588703400	33	1	Andaman and Nicobar Islands
#F8766D	1588789800	33	1	Andaman and Nicobar Islands
#F8766D	1588876200	33	1	Andaman and Nicobar Islands
#F8766D	1588962600	33	1	Andaman and Nicobar Islands
#F8766D	1589049000	33	1	Andaman and Nicobar Islands
#F8766D	1589135400	33	1	Andaman and Nicobar Islands
#F8766D	1589221800	33	1	Andaman and Nicobar Islands
#F8766D	1589308200	33	1	Andaman and Nicobar Islands
#F8766D	1589394600	33	1	Andaman and Nicobar Islands
#F8766D	1589481000	33	1	Andaman and Nicobar Islands
#F8766D	1589567400	33	1	Andaman and Nicobar Islands
#F8766D	1589653800	33	1	Andaman and Nicobar Islands
#F8766D	1589740200	33	1	Andaman and Nicobar Islands
#F8766D	1589826600	33	1	Andaman and Nicobar Islands
#F8766D	1589913000	33	1	Andaman and Nicobar Islands
#F8766D	1589999400	33	1	Andaman and Nicobar Islands
#F8766D	1590085800	33	1	Andaman and Nicobar Islands
#F8766D	1590172200	33	1	Andaman and Nicobar Islands
#F8766D	1590258600	33	1	Andaman and Nicobar Islands
#F8766D	1590345000	33	1	Andaman and Nicobar Islands
#F8766D	1590431400	33	1	Andaman and Nicobar Islands
#F8766D	1590517800	33	1	Andaman and Nicobar Islands
#F8766D	1590604200	33	1	Andaman and Nicobar Islands
#F8766D	1590690600	33	1	Andaman and Nicobar Islands
#F8766D	1590777000	33	1	Andaman and Nicobar Islands
#F8766D	1590863400	33	1	Andaman and Nicobar Islands
#F8766D	1590949800	33	1	Andaman and Nicobar Islands
#F8766D	1591036200	33	1	Andaman and Nicobar Islands
#F8766D	1591122600	33	1	Andaman and Nicobar Islands
#F8766D	1591209000	33	1	Andaman and Nicobar Islands
#F8766D	1591295400	33	1	Andaman and Nicobar Islands
#F8766D	1591381800	33	1	Andaman and Nicobar Islands
#F8766D	1591468200	33	1	Andaman and Nicobar Islands
#F8766D	1591554600	33	1	Andaman and Nicobar Islands
#F8766D	1591641000	33	1	Andaman and Nicobar Islands
#F8766D	1591727400	33	1	Andaman and Nicobar Islands
#F8766D	1591813800	34	1	Andaman and Nicobar Islands
#F8766D	1591900200	38	1	Andaman and Nicobar Islands
#F8766D	1591986600	38	1	Andaman and Nicobar Islands
#F8766D	1592073000	38	1	Andaman and Nicobar Islands
#F8766D	1592159400	38	1	Andaman and Nicobar Islands
#F8766D	1592245800	41	1	Andaman and Nicobar Islands
#F8766D	1592332200	44	1	Andaman and Nicobar Islands
#F8766D	1592418600	44	1	Andaman and Nicobar Islands
#F8766D	1592505000	44	1	Andaman and Nicobar Islands
#F8766D	1592591400	45	1	Andaman and Nicobar Islands
#F8766D	1592677800	47	1	Andaman and Nicobar Islands
#F8766D	1592764200	48	1	Andaman and Nicobar Islands
#F8766D	1592850600	48	1	Andaman and Nicobar Islands
#F8766D	1592937000	50	1	Andaman and Nicobar Islands
#F8766D	1593023400	56	1	Andaman and Nicobar Islands
#F8766D	1593109800	59	1	Andaman and Nicobar Islands
#F8766D	1593196200	72	1	Andaman and Nicobar Islands
#F8766D	1593282600	72	1	Andaman and Nicobar Islands
#F8766D	1593369000	76	1	Andaman and Nicobar Islands
