x	y	tooltip	showSelected1	showSelected2
1580322600	0	30/01/20 Deaths= 0	Kerala	January 2020
1580409000	0	31/01/20 Deaths= 0	Kerala	January 2020
1580495400	0	01/02/20 Deaths= 0	Kerala	February 2020
1580581800	0	02/02/20 Deaths= 0	Kerala	February 2020
1580668200	0	03/02/20 Deaths= 0	Kerala	February 2020
1580754600	0	04/02/20 Deaths= 0	Kerala	February 2020
1580841000	0	05/02/20 Deaths= 0	Kerala	February 2020
1580927400	0	06/02/20 Deaths= 0	Kerala	February 2020
1581013800	0	07/02/20 Deaths= 0	Kerala	February 2020
1581100200	0	08/02/20 Deaths= 0	Kerala	February 2020
1581186600	0	09/02/20 Deaths= 0	Kerala	February 2020
1581273000	0	10/02/20 Deaths= 0	Kerala	February 2020
1581359400	0	11/02/20 Deaths= 0	Kerala	February 2020
1581445800	0	12/02/20 Deaths= 0	Kerala	February 2020
1581532200	0	13/02/20 Deaths= 0	Kerala	February 2020
1581618600	0	14/02/20 Deaths= 0	Kerala	February 2020
1581705000	0	15/02/20 Deaths= 0	Kerala	February 2020
1581791400	0	16/02/20 Deaths= 0	Kerala	February 2020
1581877800	0	17/02/20 Deaths= 0	Kerala	February 2020
1581964200	0	18/02/20 Deaths= 0	Kerala	February 2020
1582050600	0	19/02/20 Deaths= 0	Kerala	February 2020
1582137000	0	20/02/20 Deaths= 0	Kerala	February 2020
1582223400	0	21/02/20 Deaths= 0	Kerala	February 2020
1582309800	0	22/02/20 Deaths= 0	Kerala	February 2020
1582396200	0	23/02/20 Deaths= 0	Kerala	February 2020
1582482600	0	24/02/20 Deaths= 0	Kerala	February 2020
1582569000	0	25/02/20 Deaths= 0	Kerala	February 2020
1582655400	0	26/02/20 Deaths= 0	Kerala	February 2020
1582741800	0	27/02/20 Deaths= 0	Kerala	February 2020
1582828200	0	28/02/20 Deaths= 0	Kerala	February 2020
1582914600	0	29/02/20 Deaths= 0	Kerala	February 2020
1583001000	0	01/03/20 Deaths= 0	Kerala	March 2020
1583087400	0	02/03/20 Deaths= 0	Telengana	March 2020
1583087400	0	02/03/20 Deaths= 0	Kerala	March 2020
1583087400	0	02/03/20 Deaths= 0	Delhi	March 2020
1583173800	0	03/03/20 Deaths= 0	Telengana	March 2020
1583173800	0	03/03/20 Deaths= 0	Rajasthan	March 2020
1583173800	0	03/03/20 Deaths= 0	Kerala	March 2020
1583173800	0	03/03/20 Deaths= 0	Delhi	March 2020
1583260200	0	04/03/20 Deaths= 0	Uttar Pradesh	March 2020
1583260200	0	04/03/20 Deaths= 0	Kerala	March 2020
1583260200	0	04/03/20 Deaths= 0	Haryana	March 2020
1583260200	0	04/03/20 Deaths= 0	Delhi	March 2020
1583260200	0	04/03/20 Deaths= 0	Telengana	March 2020
1583260200	0	04/03/20 Deaths= 0	Rajasthan	March 2020
1583346600	0	05/03/20 Deaths= 0	Delhi	March 2020
1583346600	0	05/03/20 Deaths= 0	Haryana	March 2020
1583346600	0	05/03/20 Deaths= 0	Kerala	March 2020
1583346600	0	05/03/20 Deaths= 0	Rajasthan	March 2020
1583346600	0	05/03/20 Deaths= 0	Telengana	March 2020
1583346600	0	05/03/20 Deaths= 0	Uttar Pradesh	March 2020
1583433000	0	06/03/20 Deaths= 0	Delhi	March 2020
1583433000	0	06/03/20 Deaths= 0	Haryana	March 2020
1583433000	0	06/03/20 Deaths= 0	Kerala	March 2020
1583433000	0	06/03/20 Deaths= 0	Rajasthan	March 2020
1583433000	0	06/03/20 Deaths= 0	Uttar Pradesh	March 2020
1583433000	0	06/03/20 Deaths= 0	Telengana	March 2020
1583519400	0	07/03/20 Deaths= 0	Kerala	March 2020
1583519400	0	07/03/20 Deaths= 0	Uttar Pradesh	March 2020
1583519400	0	07/03/20 Deaths= 0	Ladakh	March 2020
1583519400	0	07/03/20 Deaths= 0	Telengana	March 2020
1583519400	0	07/03/20 Deaths= 0	Tamil Nadu	March 2020
1583519400	0	07/03/20 Deaths= 0	Delhi	March 2020
1583519400	0	07/03/20 Deaths= 0	Haryana	March 2020
1583519400	0	07/03/20 Deaths= 0	Rajasthan	March 2020
1583605800	0	08/03/20 Deaths= 0	Ladakh	March 2020
1583605800	0	08/03/20 Deaths= 0	Telengana	March 2020
1583605800	0	08/03/20 Deaths= 0	Tamil Nadu	March 2020
1583605800	0	08/03/20 Deaths= 0	Rajasthan	March 2020
1583605800	0	08/03/20 Deaths= 0	Kerala	March 2020
1583605800	0	08/03/20 Deaths= 0	Haryana	March 2020
1583605800	0	08/03/20 Deaths= 0	Delhi	March 2020
1583605800	0	08/03/20 Deaths= 0	Uttar Pradesh	March 2020
